type: not_note, obj: MetaMessage type: track_name, time: 0, actual_time: 0
type: not_note, obj: type: program_change, time: 0, actual_time: 0
type:note channel: 9, note: 31, velocity: 50, start_time: 30720, duration: 96
type:note channel: 9, note: 31, velocity: 50, start_time: 30912, duration: 96
type:note channel: 9, note: 31, velocity: 50, start_time: 31104, duration: 96
type:note channel: 9, note: 31, velocity: 50, start_time: 31296, duration: 96
type:note channel: 9, note: 31, velocity: 50, start_time: 31488, duration: 96
type:note channel: 9, note: 31, velocity: 50, start_time: 31680, duration: 96
type:note channel: 9, note: 31, velocity: 50, start_time: 31872, duration: 96
type:note channel: 9, note: 31, velocity: 50, start_time: 32064, duration: 96
type:note channel: 9, note: 28, velocity: 50, start_time: 32256, duration: 96
type:note channel: 9, note: 35, velocity: 50, start_time: 32256, duration: 192
type:note channel: 9, note: 36, velocity: 50, start_time: 32256, duration: 192
type:note channel: 9, note: 37, velocity: 50, start_time: 32256, duration: 192
type:note channel: 9, note: 38, velocity: 50, start_time: 32256, duration: 192
type:note channel: 9, note: 39, velocity: 50, start_time: 32256, duration: 192
type:note channel: 9, note: 28, velocity: 50, start_time: 32448, duration: 96
type:note channel: 9, note: 35, velocity: 50, start_time: 32448, duration: 96
type:note channel: 9, note: 39, velocity: 50, start_time: 32448, duration: 96
type:note channel: 9, note: 28, velocity: 50, start_time: 32640, duration: 96
type:note channel: 9, note: 39, velocity: 50, start_time: 32640, duration: 96
type:note channel: 9, note: 28, velocity: 50, start_time: 32832, duration: 96
type:note channel: 9, note: 35, velocity: 50, start_time: 32832, duration: 96
type:note channel: 9, note: 36, velocity: 50, start_time: 32832, duration: 96
type:note channel: 9, note: 39, velocity: 50, start_time: 32832, duration: 96
type:note channel: 9, note: 28, velocity: 50, start_time: 33024, duration: 96
type:note channel: 9, note: 39, velocity: 50, start_time: 33024, duration: 96
type:note channel: 9, note: 28, velocity: 50, start_time: 33216, duration: 96
type:note channel: 9, note: 35, velocity: 50, start_time: 33216, duration: 96
type:note channel: 9, note: 39, velocity: 50, start_time: 33216, duration: 96
type:note channel: 9, note: 28, velocity: 50, start_time: 33408, duration: 96
type:note channel: 9, note: 39, velocity: 50, start_time: 33408, duration: 96
type:note channel: 9, note: 28, velocity: 50, start_time: 33600, duration: 96
type:note channel: 9, note: 35, velocity: 50, start_time: 33600, duration: 96
type:note channel: 9, note: 36, velocity: 50, start_time: 33600, duration: 96
type:note channel: 9, note: 37, velocity: 50, start_time: 33600, duration: 96
type:note channel: 9, note: 39, velocity: 50, start_time: 33600, duration: 96
type:note channel: 9, note: 39, velocity: 50, start_time: 33792, duration: 288
type:note channel: 9, note: 38, velocity: 50, start_time: 33792, duration: 288
type:note channel: 9, note: 37, velocity: 50, start_time: 33792, duration: 288
type:note channel: 9, note: 36, velocity: 50, start_time: 33792, duration: 288
type:note channel: 9, note: 35, velocity: 50, start_time: 33792, duration: 288
type: not_note, obj: MetaMessage type: end_of_track, time: 0, actual_time: 34080
