MetaMessage type: track_name, time: 0, actual_time: 0
type: program_change, time: 0, actual_time: 0
type=note_on channel=9 note=31 velocity=50 time=30720 actual_time=30720
type: note_off, time: 96, actual_time: 30816
type=note_on channel=9 note=31 velocity=50 time=96 actual_time=30912
type: note_off, time: 96, actual_time: 31008
type=note_on channel=9 note=31 velocity=50 time=96 actual_time=31104
type: note_off, time: 96, actual_time: 31200
type=note_on channel=9 note=31 velocity=50 time=96 actual_time=31296
type: note_off, time: 96, actual_time: 31392
type=note_on channel=9 note=31 velocity=50 time=96 actual_time=31488
type: note_off, time: 96, actual_time: 31584
type=note_on channel=9 note=31 velocity=50 time=96 actual_time=31680
type: note_off, time: 96, actual_time: 31776
type=note_on channel=9 note=31 velocity=50 time=96 actual_time=31872
type: note_off, time: 96, actual_time: 31968
type=note_on channel=9 note=31 velocity=50 time=96 actual_time=32064
type: note_off, time: 96, actual_time: 32160
type=note_on channel=9 note=28 velocity=50 time=96 actual_time=32256
type=note_on channel=9 note=35 velocity=50 time=0 actual_time=32256
type=note_on channel=9 note=36 velocity=50 time=0 actual_time=32256
type=note_on channel=9 note=37 velocity=50 time=0 actual_time=32256
type=note_on channel=9 note=38 velocity=50 time=0 actual_time=32256
type=note_on channel=9 note=39 velocity=50 time=0 actual_time=32256
type: note_off, time: 96, actual_time: 32352
type: note_off, time: 96, actual_time: 32448
type: note_off, time: 0, actual_time: 32448
type: note_off, time: 0, actual_time: 32448
type: note_off, time: 0, actual_time: 32448
type: note_off, time: 0, actual_time: 32448
type=note_on channel=9 note=28 velocity=50 time=0 actual_time=32448
type=note_on channel=9 note=35 velocity=50 time=0 actual_time=32448
type=note_on channel=9 note=39 velocity=50 time=0 actual_time=32448
type: note_off, time: 96, actual_time: 32544
type: note_off, time: 0, actual_time: 32544
type: note_off, time: 0, actual_time: 32544
type=note_on channel=9 note=28 velocity=50 time=96 actual_time=32640
type=note_on channel=9 note=39 velocity=50 time=0 actual_time=32640
type: note_off, time: 96, actual_time: 32736
type: note_off, time: 0, actual_time: 32736
type=note_on channel=9 note=28 velocity=50 time=96 actual_time=32832
type=note_on channel=9 note=35 velocity=50 time=0 actual_time=32832
type=note_on channel=9 note=36 velocity=50 time=0 actual_time=32832
type=note_on channel=9 note=39 velocity=50 time=0 actual_time=32832
type: note_off, time: 96, actual_time: 32928
type: note_off, time: 0, actual_time: 32928
type: note_off, time: 0, actual_time: 32928
type: note_off, time: 0, actual_time: 32928
type=note_on channel=9 note=28 velocity=50 time=96 actual_time=33024
type=note_on channel=9 note=39 velocity=50 time=0 actual_time=33024
type: note_off, time: 96, actual_time: 33120
type: note_off, time: 0, actual_time: 33120
type=note_on channel=9 note=28 velocity=50 time=96 actual_time=33216
type=note_on channel=9 note=35 velocity=50 time=0 actual_time=33216
type=note_on channel=9 note=39 velocity=50 time=0 actual_time=33216
type: note_off, time: 96, actual_time: 33312
type: note_off, time: 0, actual_time: 33312
type: note_off, time: 0, actual_time: 33312
type=note_on channel=9 note=28 velocity=50 time=96 actual_time=33408
type=note_on channel=9 note=39 velocity=50 time=0 actual_time=33408
type: note_off, time: 96, actual_time: 33504
type: note_off, time: 0, actual_time: 33504
type=note_on channel=9 note=28 velocity=50 time=96 actual_time=33600
type=note_on channel=9 note=35 velocity=50 time=0 actual_time=33600
type=note_on channel=9 note=36 velocity=50 time=0 actual_time=33600
type=note_on channel=9 note=37 velocity=50 time=0 actual_time=33600
type=note_on channel=9 note=39 velocity=50 time=0 actual_time=33600
type: note_off, time: 96, actual_time: 33696
type: note_off, time: 0, actual_time: 33696
type: note_off, time: 0, actual_time: 33696
type: note_off, time: 0, actual_time: 33696
type: note_off, time: 0, actual_time: 33696
type=note_on channel=9 note=39 velocity=50 time=96 actual_time=33792
type=note_on channel=9 note=38 velocity=50 time=0 actual_time=33792
type=note_on channel=9 note=37 velocity=50 time=0 actual_time=33792
type=note_on channel=9 note=36 velocity=50 time=0 actual_time=33792
type=note_on channel=9 note=35 velocity=50 time=0 actual_time=33792
type: note_off, time: 288, actual_time: 34080
type: note_off, time: 0, actual_time: 34080
type: note_off, time: 0, actual_time: 34080
type: note_off, time: 0, actual_time: 34080
type: note_off, time: 0, actual_time: 34080
MetaMessage type: end_of_track, time: 0, actual_time: 34080
